,Name,url,Sector,Industry,Employees,Description,Executive1,Executive2,Executive3,Executive4,Executive5
QURE,uniQure N.V.,http://www.uniqure.com,Healthcare,Biotechnology,251,"uniQure N.V., a biopharmaceutical company, engages in the discovery, development, and commercialization of gene therapies in the Netherlands. The companys principle programs include AMT-060, a gene therapy that has completed Phase I/II clinical trial for the treatment of hemophilia B; S100A1, a preclinical product candidate for the treatment of congestive heart failure; and AMT-130 for the treatment of huntington's disease. It also provides Glybera, a gene therapy product that has approved for the treatment of patients with lipoprotein lipase deficiency. The company has collaboration and license agreements with Bristol-Myers Squibb Company, 4D Molecular Therapeutics, Synpromics, and Chiesi Farmaceutici S.p.A. uniQure N.V. was founded in 1998 and is headquartered in Amsterdam, the Netherlands.","{'name': 'Mr. Matthew Craig Kapusta', 'title': 'CEO, Interim CFO & Exec. Director', 'pay': '551.55k', 'exercised': 'N/A', 'age': '45'}","{'name': 'Dr. Sander  van Deventer M.D., Ph.D.', 'title': 'Co-Founder, Chief Scientific Officer & GM of Amsterdam', 'pay': '45k', 'exercised': 'N/A', 'age': '63'}","{'name': 'Prof. Hugo  Katus', 'title': 'Chairman of Scientific Advisory Board and Managing Director of UniQure-Germany', 'pay': 'N/A', 'exercised': 'N/A', 'age': 'N/A'}","{'name': 'Dr. Scott T. McMillan Ph.D.', 'title': 'Chief Operating Officer', 'pay': 'N/A', 'exercised': 'N/A', 'age': '58'}","{'name': 'Mr. Christian  Klemt', 'title': 'Chief Accounting Officer', 'pay': 'N/A', 'exercised': 'N/A', 'age': '44'}"
RARE,Ultragenyx Pharmaceutical Inc.,http://www.ultragenyx.com,Healthcare,Biotechnology,376,"Ultragenyx Pharmaceutical Inc., a clinical-stage biopharmaceutical company, focuses on the identification, acquisition, development, and commercialization of various products for the treatment of rare and ultra-rare genetic diseases in the United States. The company is developing various biologics product candidates, including KRN23, a human monoclonal antibody that in Phase III adult study to bind and reduce the biological activity of fibroblast growth factor 23 to enhance abnormally low phosphate levels in patients with X-linked hypophosphatemia, as well as for the treatment of tumor-induced osteomalacia. Its biologics product candidates also comprise recombinant human beta -glucuronidase (rhGUS), an enzyme replacement therapy, which completed the Phase 3 clinical study for the treatment of mucopolysaccharidosis 7; and recombinant human protective protein cathepsin-A (rhPPCA), an enzyme replacement therapy, which is in preclinical development for galactosialidosis. The company is also developing range of small-molecule product candidates, such as UX007, a substrate replacement therapy that is in Phase II study for patients with fatty acid oxidation disorders, as well as for patients with glucose transporter type-1 deficiency syndrome; and aceneuramic acid extended-release (Ace-ER), an oral formulation of sialic acid, which is in Phase III extension study to treat GNE myopathy. It has collaboration and license agreements with Arcturus Therapeutics, Inc.; Takeda Pharmaceutical Company Limited; Kyowa Hakko Kirin Co. Ltd.; Saint Louis University; Baylor Research Institute; Nobelpharma Co., Ltd.; Alcami Corporation; HIBM Research Group; and St. Jude Childrens Research Hospital. The company was founded in 2010 and is headquartered in Novato, California.","{'name': 'Dr. Emil D. Kakkis M.D., Ph.D.', 'title': 'Chief Exec. Officer, Pres and Director', 'pay': '945.9k', 'exercised': 'N/A', 'age': '57'}","{'name': 'Ms. Shalini  Sharp', 'title': 'Chief Financial Officer and Exec. VP', 'pay': '658.44k', 'exercised': '2.9M', 'age': '42'}","{'name': 'Ms. Karah Herdman Parschauer', 'title': 'Exec. VP and Gen. Counsel', 'pay': '320.96k', 'exercised': 'N/A', 'age': '39'}","{'name': 'Mr. John Richard Pinion II', 'title': 'Chief Quality Operations Officer and Exec. VP of Analytical Sciences & Research', 'pay': '601.46k', 'exercised': 'N/A', 'age': '51'}","{'name': 'Dr. Jayson Donald Alexander Dallas M.D.', 'title': 'Chief Commercial Officer and Exec. VP', 'pay': '697.26k', 'exercised': 'N/A', 'age': '49'}"
RARX,"Ra Pharmaceuticals, Inc.",http://www.rapharma.com,,,46,"Ra Pharmaceuticals, Inc., a clinical-stage biopharmaceutical company, discovers and develops therapeutics for the treatment of diseases caused by excessive or uncontrolled activation of the complement system in the United States. The companys peptide chemistry platform enables the production of synthetic macrocyclic peptides that combine the diversity and specificity of antibodies with the pharmacological properties of small molecules. Its lead product candidate is RA101495, an injection into the tissue under the skin for the treatment of paroxysmal nocturnal hemoglobinuria (PNH), as well as for the treatment of other debilitating complement-mediated diseases, including refractory generalized myasthenia gravis (rMG) and lupus nephritis (LP). The companys preclinical testing products include Factor D inhibition for age-related macular degeneration and geographic atrophy, as well as for Orphan renal dense deposit and C3 glomerulonephritis; Oral C5 inhibitor for PNH, rMG, LN, and central nervous system (CNS) diseases; and C1s inhibition for autoimmune/CNS diseases. It has multi-target collaboration and license agreement with Merck & Co., Inc. Ra Pharmaceuticals, Inc. was founded in 2008 and is based in Cambridge, Massachusetts.","{'name': 'Dr. Douglas A. Treco Ph.D.', 'title': 'Chief Exec. Officer, Pres, Co-Founder and Director', 'pay': '590.43k', 'exercised': 'N/A', 'age': '59'}","{'name': 'Mr. David C. Lubner CPA', 'title': 'Chief Financial Officer and Exec. VP of Operations', 'pay': '500.44k', 'exercised': 'N/A', 'age': '53'}","{'name': 'Dr. Simon  Read Ph.D.', 'title': 'Chief Scientific Officer', 'pay': '337.81k', 'exercised': 'N/A', 'age': '46'}","{'name': 'Dr. Ramin  Farzaneh-Far M.D., FACC', 'title': 'Chief Medical Officer', 'pay': '407.21k', 'exercised': 'N/A', 'age': '40'}","{'name': 'Ms. Kerry  Black M.S., M.B.A.', 'title': 'Exec. Director of Operations', 'pay': 'N/A', 'exercised': 'N/A', 'age': 'N/A'}"
RDUS,"Radius Health, Inc.",http://www.radiuspharm.com,Healthcare,Biotechnology,170,"Radius Health, Inc., a biopharmaceutical company, develops and sells therapeutics in the areas of osteoporosis, oncology, and endocrine diseases primarily in the United States. Its product candidates include Abaloparatide-SC, an injectable subcutaneous formulation of abaloparatide, which has completed Phase III clinical trial for the treatment of patients with postmenopausal osteoporosis; and Abaloparatide-TD, a transdermal patch for use as a short wear-time transdermal patch. The company is also involved in developing RAD1901, a selective estrogen receptor down-regulator/degrader, which is in Phase I clinical trial for the treatment of metastatic breast cancer, as well as in Phase IIb clinical trial for the treatment of postmenopausal vasomotor symptoms; and RAD140, a nonsteroidal selective androgen receptor modulator for the treatment of breast cancer. It has collaborations and license agreements with 3M; Ipsen Pharma SAS; Eisai Co. Ltd.; Lonza Group Ltd.; Novartis Pharmaceuticals; and Takeda Pharmaceutical Company Limited, as well as research and development agreements with Nordic Bioscience Clinical Development VII A/S. Radius Health, Inc. was founded in 2003 and is headquartered in Waltham, Massachusetts.","{'name': 'Dr. Gregory  Williams Ph.D., MBA', 'title': 'Chief Devel. Officer', 'pay': '563.9k', 'exercised': 'N/A', 'age': '59'}","{'name': 'Dr. Lorraine A. Fitzpatrick M.D.', 'title': 'Chief Medical Officer', 'pay': '543.79k', 'exercised': 'N/A', 'age': '64'}","{'name': 'Mr. Brian Nicholas Harvey', 'title': 'Advisor', 'pay': '478.84k', 'exercised': 'N/A', 'age': '57'}","{'name': 'Mr. Jesper  H??iland M.Sc.', 'title': 'CEO & Pres', 'pay': 'N/A', 'exercised': 'N/A', 'age': '58'}","{'name': 'Dr. Stavros C. Manolagas M.D., Ph.D.', 'title': 'Co-Founder and Member of the Scientific Advisory Board', 'pay': 'N/A', 'exercised': 'N/A', 'age': 'N/A'}"
REGN,"Regeneron Pharmaceuticals, Inc.",http://www.regeneron.com,Healthcare,Biotechnology,"5,653","Regeneron Pharmaceuticals, Inc., a biopharmaceutical company, discovers, invents, develops, manufactures, and commercializes medicines for the treatment of serious medical conditions worldwide. Its products include EYLEA injection for the treatment of neovascular age-related macular degeneration, diabetic macular edema, and macular edema following retinal vein occlusion; Praluent injection, an adjunct to diet and tolerated statin therapy for the treatment of adults with heterozygous familial hypercholesterolemia or clinical atherosclerotic cardiovascular disease; and ARCALYST injection for the treatment of cryopyrin-associated periodic syndromes, including familial cold auto-inflammatory syndrome and muckle-wells syndrome in adults and childrens. It also markets Kevzara injection for the treatment of rheumatoid arthritis in adults; and ZALTRAP, an injection for intravenous infusion, which is used in combination with 5-fluorouracil, leucovorin, and irinotecan for the treatment of metastatic colorectal cancer. The company also develops EYLEA, trap-based clinical product that is in Phase III study for the treatment of neovascular glaucoma. Regeneron Pharmaceuticals, Inc. has collaboration agreement with Sanofi for the development of antibody-based clinical products comprising Praluent, Sarilumab, Dupixent, REGN2810, REGN3500, and REGN3767; Bayer HealthCare LLC for the development of Nesvacumab/aflibercept, which is used in ophthalmology; and with Teva and Mitsubishi Tanabe Pharma Corporation for developing Fasinumab, an antibody to nerve growth factor. It also has collaboration agreements with Intellia Therapeutics, Inc. to advance CRISPR/Cas gene-editing technology for in vivo therapeutic development; and the U.S. Department of Health and Human Services to develop treatments combating infectious diseases. The company was founded in 1988 and is headquartered in Tarrytown, New York.","{'name': 'Dr. Leonard S. Schleifer M.D., Ph.D.', 'title': 'Co-Founder, Chief Exec. Officer, Pres and Exec. Director', 'pay': '3.71M', 'exercised': '89.94M', 'age': '64'}","{'name': 'Dr. George D. Yancopoulos M.D., Ph.D.', 'title': 'Pres, Chief Scientific Officer and Director', 'pay': '3.14M', 'exercised': '70.18M', 'age': '57'}","{'name': 'Mr. Robert E. Landry Jr.', 'title': 'Chief Financial Officer and Sr. VP of Fin.', 'pay': '1.21M', 'exercised': 'N/A', 'age': '53'}","{'name': 'Dr. Neil  Stahl Ph.D.', 'title': 'Exec. VP of R&D', 'pay': '1.2M', 'exercised': 'N/A', 'age': '60'}","{'name': 'Mr. Robert J. Terifay', 'title': 'Exec. VP of Commercial', 'pay': '1.07M', 'exercised': 'N/A', 'age': '57'}"
RETA,"Reata Pharmaceuticals, Inc.",http://www.reatapharma.com,N/A,N/A,N/A,"Reata Pharmaceuticals, Inc., a clinical stage biopharmaceutical company, focuses on identifying, developing, and commercializing product candidates for patients with rare and life-threatening diseases by targeting molecular pathways that regulate cellular metabolism and inflammation. Its lead product candidates include Bardoxolone methyl, which is in Phase III clinical trial for the treatment of pulmonary arterial hypertension and associated with connective tissue disease, as well as in Phase II clinical trial for the treatment of pulmonary hypertension due to interstitial lung disease and pulmonary arterial hypertension; and Omaveloxolone that is in Phase II clinical trial for the treatment of Friedreichs ataxia, mitochondrial myopathies, and metastatic melanoma. The company was formerly known as Reata Discovery, Inc. and changed its name to Reata Pharmaceuticals, Inc. in May 2005. The company was founded in 2002 and is headquartered in Irving, Texas.","{'name': 'Mr. J. Warren Huff', 'title': 'Chairman, Chief Exec. Officer and Pres', 'pay': '756k', 'exercised': 'N/A', 'age': '64'}","{'name': 'Dr. Colin J. Meyer M.D.', 'title': 'Chief Medical Officer and VP of Product Devel.', 'pay': '487.5k', 'exercised': 'N/A', 'age': '39'}","{'name': 'Dr. Keith W. Ward Ph.D.', 'title': 'Chief Devel. Officer and VP', 'pay': '450k', 'exercised': 'N/A', 'age': '48'}","{'name': 'Mr. Jason D. Wilson', 'title': 'Chief Financial Officer and VP of Strategy', 'pay': 'N/A', 'exercised': 'N/A', 'age': '48'}","{'name': 'Ms. Elaine  Castellanos', 'title': 'VP of Fin. and Accounting', 'pay': 'N/A', 'exercised': 'N/A', 'age': 'N/A'}"
RGEN,Repligen Corporation,http://www.repligen.com,N/A,N/A,N/A,"Repligen Corporation, a bioprocessing company, focuses on the development, production, and commercialization of products used in the production of antibody-based therapeutics, recombinant proteins, and vaccines worldwide. It manufactures various forms of Protein A, a critical component used to purify antibody-based drugs. The company also supplies alternating tangential flow system filtration devices and protein cell culture supplements that are used in clinical and commercial stage manufacturing to enhance biologic drug yields. In addition, it manufactures and sells OPUS pre-packed chromatography columns, which are used in the purification of clinical-stage biologics; and tangential flow filtration cassettes that are used to concentrate clinical and commercial stage biologic drugs. Further, the company has a portfolio of therapeutic product candidates, which include histone deacetylase inhibitor for the treatment of Friedreichs ataxia disease; and RG1068, a synthetic human hormone developed as a novel imaging agent for the detection of pancreatic duct abnormalities in combination with magnetic resonance imaging in patients with pancreatitis and other pancreatic diseases. The company sells its bioprocessing products directly and through distributors to various life sciences companies, biopharmaceutical companies, and contract manufacturers. Repligen Corporation was founded in 1981 and is headquartered in Waltham, Massachusetts.","{'name': 'Mr. Anthony J. Hunt', 'title': 'Chief Exec. Officer, Pres, Director and Member of Scientific Advisory Board', 'pay': '903.25k', 'exercised': 'N/A', 'age': '53'}","{'name': 'Mr. Jon K. Snodgres', 'title': 'Chief Financial Officer and Sec.', 'pay': '523.35k', 'exercised': 'N/A', 'age': '51'}","{'name': 'Dr. Howard  Benjamin Ph.D.', 'title': 'VP of Bus. Devel.', 'pay': '411.99k', 'exercised': '177.49k', 'age': '57'}","{'name': 'Mr. Steve  Curran', 'title': 'VP of Global Operations', 'pay': 'N/A', 'exercised': 'N/A', 'age': 'N/A'}","{'name': 'Ms. Sondra S. Newman', 'title': 'Sr. Director Investor Relations', 'pay': 'N/A', 'exercised': 'N/A', 'age': 'N/A'}"
RGNX,Regenxbio Inc.,http://www.regenxbio.com,N/A,N/A,N/A,"REGENXBIO Inc., a clinical-stage biotechnology company, provides gene therapy product candidates to deliver genes to cells to address genetic defects or to enable cells in the body to produce therapeutic proteins that are intended to impact disease. Its gene therapy product candidates are based on NAV Technology Platform, a proprietary adeno-associated virus (AAV) gene delivery platform. The companys lead product candidate is RGX-314 for the treatment of wet age-related macular degeneration. It is also developing RGX-501, a product candidate for the treatment of homozygous familial hypercholesterolemia, which uses the AAV8 vector to deliver the human low-density lipoprotein receptor gene to liver cells; and RGX-111, a product candidate to treat the neurological symptoms of Mucopolysaccharidosis Type I that uses the AAV9 vector to deliver the human a-l-iduronidase gene to the central nervous system (CNS). In addition, the company engages in the development of RGX-121, a product candidate for the treatment of Mucopolysaccharidosis Type II, which uses the AAV9 vector to deliver the human iduronate-2-sulfatase gene to the CNS. Further, it licenses its NAV vectors to various other biotechnology companies. The company was formerly known as REGENX Biosciences, LLC and changed its name to REGENXBIO Inc. in September 2014. REGENXBIO Inc. was founded in 2008 and is headquartered in Rockville, Maryland.","{'name': 'Mr. Kenneth T. Mills', 'title': 'Chief Exec. Officer, Pres and Director', 'pay': '720.89k', 'exercised': '1.29M', 'age': '42'}","{'name': 'Mr. Curran M. Simpson', 'title': 'Sr. VP of Technical Operations', 'pay': '457.11k', 'exercised': 'N/A', 'age': '55'}","{'name': 'Mr. Faraz  Ali', 'title': 'Chief Bus. Officer', 'pay': '397.5k', 'exercised': 'N/A', 'age': '44'}","{'name': 'Dr. James M. Wilson M.D., Ph.D.', 'title': 'Scientific Founder and Special Advisor', 'pay': 'N/A', 'exercised': 'N/A', 'age': '62'}","{'name': 'Mr. Vittal K. Vasista', 'title': 'Chief Financial Officer', 'pay': 'N/A', 'exercised': 'N/A', 'age': '49'}"
RIGL,"Rigel Pharmaceuticals, Inc.",http://www.rigel.com,Healthcare,Drugs - Generic,77,"Rigel Pharmaceuticals, Inc., a clinical-stage biotechnology company, engages in the discovery and development of drugs in the therapeutic areas of immunology, oncology, and immuno-oncology. The companys clinical programs include fostamatinib, an oral spleen tyrosine kinase (SYK) inhibitor, which has completed Phase III clinical program for immune thrombocytopenia purpura; and Phase II clinical study for autoimmune hemolytic anemia and IgA nephropathy. It is also developing two oncology product candidates, which are in Phase I and Phase II. Rigel Pharmaceuticals, Inc. has license agreements with Aclaris Therapeutics International Limited for the development and commercialization of janus kinase (JAK) inhibitors for the treatment of alopecia areata and other dermatological conditions; Bristol-Myers Squibb Company for the discovery, development, and commercialization of cancer immunotherapies; AstraZeneca AB for the development and commercialization of R256, an inhaled JAK inhibitor; BerGenBio AS for the development and commercialization of an oncology program; and Daiichi Sankyo to pursue research related to ligases. The company was founded in 1996 and is based in South San Francisco, California.","{'name': 'Mr. Raul R. Rodriguez', 'title': 'CEO, Pres & Director', 'pay': '862.37k', 'exercised': 'N/A', 'age': '56'}","{'name': 'Mr. Ryan D. Maynard', 'title': 'Chief Financial Officer and Exec. VP', 'pay': '603.5k', 'exercised': 'N/A', 'age': '48'}","{'name': 'Ms. Dolly A. Vance', 'title': 'Exec. VP of Corp. Affairs, Gen. Counsel & Corp. Sec.', 'pay': '650.8k', 'exercised': 'N/A', 'age': '52'}","{'name': 'Dr. Anne-Marie S. Duliege M.D., M.S.', 'title': 'Chief Medical Officer and Exec. VP', 'pay': '541.2k', 'exercised': 'N/A', 'age': '58'}","{'name': 'Mr. Eldon C. Mayer III', 'title': 'Chief Commercial Officer and Exec. VP', 'pay': '175.92k', 'exercised': 'N/A', 'age': '56'}"
RTRX,"Retrophin, Inc.",http://www.retrophin.com,N/A,N/A,N/A,"Retrophin, Inc., a biopharmaceutical company, focuses on the development, acquisition, and commercialization of therapies for the treatment of serious or rare diseases. Its marketed products include Chenodal, a synthetic oral form of chenodeoxycholic acid for the treatment of radiolucent stones in well-opacifying gallbladders; Cholbam, a cholic acid capsule to treat pediatric and adult patients with bile acid synthesis disorders due to single enzyme defects, and for adjunctive treatment of patients with peroxisomal disorders; and Thiola, a tiopronin tablet for the treatment of cystinuria. The companys product candidates consist of Sparsentan, which is in Phase III clinical trial for the treatment of focal segmental glomerulosclerosis; Fosmetpantotenate, a novel small molecule that is in Phase III clinical trial to treat pantothenate kinase-associated neurodegeneration; Tetracosactide Zinc (RE-034), a synthetic hormone analog that is in preclinical stage; and Liquid Ursodeoxycholic Acid, a liquid formulation of ursodeoxycholic acid, which is in preclinical stage to treat primary biliary cholangitis. Retrophin, Inc. was founded in 2011 and is headquartered in San Diego, California.","{'name': 'Mr. Stephen J. Aselage', 'title': 'CEO, Pres & Director', 'pay': '781.78k', 'exercised': 'N/A', 'age': '67'}","{'name': 'Ms. Laura M. Clague CPA', 'title': 'CFO & Sr. VP', 'pay': '533.12k', 'exercised': 'N/A', 'age': '59'}","{'name': 'Mr. Neil F. McFarlane', 'title': 'Chief Operating Officer', 'pay': '367.13k', 'exercised': 'N/A', 'age': '45'}","{'name': 'Chris  Cline CFA', 'title': 'VP of Investor Relations', 'pay': 'N/A', 'exercised': 'N/A', 'age': 'N/A'}","{'name': 'Ms. Elizabeth E. Reed J.D.', 'title': 'Sr. VP, Gen. Counsel & Corp. Sec.', 'pay': 'N/A', 'exercised': 'N/A', 'age': '47'}"
RVNC,"Revance Therapeutics, Inc.",http://www.revance.com,Healthcare,Biotechnology,131,"Revance Therapeutics, Inc., a biotechnology company, engages in the development, manufacturing, and commercialization of novel botulinum toxin products for various aesthetic and therapeutic indications. The company's lead drug candidate is DaxibotulinumtoxinA for injection (RT002), which is in Phase III clinical trials to treat glabellar (frown) lines, as well as in Phase II clinical trials for the treatment of cervical dystonia and plantar fasciitis. It is also developing DaxibotulinumtoxinA topical gel (RT001) that is in preclinical development. The company was formerly known as Essentia Biosystems, Inc. and changed its name to Revance Therapeutics, Inc. in April 2005. Revance Therapeutics, Inc. was founded in 1999 and is headquartered in Newark, California.","{'name': 'Mr. L. Daniel Browne', 'title': 'Co-Founder, CEO, Pres & Director', 'pay': '783.49k', 'exercised': 'N/A', 'age': '55'}","{'name': 'Mrs. Lauren P. Silvernail', 'title': 'Chief Financial Officer, Chief Bus. Officer and Sec.', 'pay': '651.86k', 'exercised': 'N/A', 'age': '58'}","{'name': 'Dr. Abhay  Joshi Ph.D., M.B.A.', 'title': 'Chief Operating Officer', 'pay': '800.88k', 'exercised': 'N/A', 'age': '54'}","{'name': 'Mr. Justin  Ford', 'title': 'Head of People & VP of HR', 'pay': 'N/A', 'exercised': 'N/A', 'age': 'N/A'}","{'name': 'Mr. Todd Erik Zavodnick', 'title': 'Chief Commercial Officer and Pres of Aesthetics & Therapeutics', 'pay': 'N/A', 'exercised': 'N/A', 'age': '45'}"
SAGE,"Sage Therapeutics, Inc.",http://www.sagerx.com,Healthcare,Biotechnology,135,"Sage Therapeutics, Inc., a clinical-stage biopharmaceutical company, develops and commercializes novel medicines to treat central nervous system disorders. Its lead product candidate includes SAGE-547, a proprietary intravenous formulation of allopregnanolone that is in Phase III clinical development as an adjunctive therapy for the treatment of super-refractory status epilepticus (SRSE), as well as for the treatment of post-partum depression (PPD). The companys product pipeline includes SAGE-217, a novel neuroactive steroid, which is in Phase II clinical trials for the treatment of PPD, major depressive disorders, essential tremor, and Parkinsons diseases; and SAGE-689 a novel positive allosteric modulator of GABAA receptors that is in preclinical stage for the treatment of status epilepticus. In addition, its product pipeline that are in preclinical stage comprises SAGE-105, a novel neuroactive steroid for the treatment of orphon epilepsies; SAGE-324, a novel neuroactive steroid for the treatment of GABA hypofunction; and SAGE-718, a novel oxysterol-based positive allosteric modulator of NMDA receptors for the treatment of cerebrosterol deficit disorders, anti-NMDA receptor encephalitis, and NMDA hypofunction. The company was formerly known as Sterogen Biopharma, Inc. and changed its name to Sage Therapeutics, Inc. in September 2011. Sage Therapeutics, Inc. was founded in 2010 and is headquartered in Cambridge, Massachusetts.","{'name': 'Dr. Jeffrey M. Jonas M.D.', 'title': 'CEO, Pres & Director', 'pay': '813.02k', 'exercised': '918.8k', 'age': '64'}","{'name': 'Ms. Kimi E. Iguchi CPA', 'title': 'CFO & Treasurer', 'pay': '480.79k', 'exercised': '183.76k', 'age': '55'}","{'name': 'Dr. Albert J. Robichaud Ph.D.', 'title': 'Chief Scientific Officer', 'pay': '541.52k', 'exercised': '642', 'age': '56'}","{'name': 'Ms. Anne Marie Cook Esq.', 'title': 'Sr. VP, Gen. Counsel & Sec.', 'pay': '538.72k', 'exercised': 'N/A', 'age': '55'}","{'name': 'Dr. Stephen J. Kanes M.D., Ph.D.', 'title': 'Chief Medical Officer', 'pay': '574.58k', 'exercised': '783.72k', 'age': '52'}"
SBBP,Strongbridge Biopharma plc,http://www.strongbridgebio.com,N/A,N/A,N/A,"Strongbridge Biopharma plc, a commercial-stage biopharmaceutical company, focuses on the development and commercialization of therapies for rare diseases with unmet needs in the United States, Sweden, and Cayman Islands. The company offers Keveyis, an oral carbonic anhydrase inhibitor to treat hyperkalemic, hypokalemic, and related variants of primary periodic paralysis. It is also involved in developing Recorlev, a cortisol synthesis inhibitor, which is in Phase III clinical development for the treatment of endogenous Cushings syndrome; and Veldoreotide, a novel somatostatin analogue that is in Phase II clinical development to treat acromegaly. The company was formerly known as Cortendo plc and changed its name to Strongbridge Biopharma plc in September 2015. Strongbridge Biopharma plc was founded in 1996 and is based in Trevose, Pennsylvania.","{'name': 'Mr. Matthew  Pauls', 'title': 'Pres, CEO & Director', 'pay': '666.9k', 'exercised': 'N/A', 'age': '47'}","{'name': 'Mr. A. Brian Davis', 'title': 'Chief Financial Officer', 'pay': '458.61k', 'exercised': 'N/A', 'age': '51'}","{'name': 'Dr. Fredric  Cohen M.D.', 'title': 'Chief Medical Officer', 'pay': '453.65k', 'exercised': 'N/A', 'age': '53'}","{'name': 'Dr. Per  Marin M.D., Ph.D.', 'title': 'Founder and Sr. Clinical Advisor', 'pay': 'N/A', 'exercised': 'N/A', 'age': 'N/A'}","{'name': 'Mr. Peter J. Valentinsson', 'title': 'Sr. VP of Global Technical Operations', 'pay': 'N/A', 'exercised': 'N/A', 'age': 'N/A'}"
SCMP,"Sucampo Pharmaceuticals, Inc.",http://www.sucampo.com,N/A,N/A,N/A,"Sucampo Pharmaceuticals, Inc., a biopharmaceutical company, focuses on developing, identifying, acquiring, and marketing medicines that meet unmet medical needs, primarily in gastroenterology, ophthalmology, and oncology-related disorders in the United States, Japan, Switzerland, and internationally. The companys marketed product includes AMITIZA (lubiprostone), a ClC-2 chloride channel activator for the treatment of chronic idiopathic constipation (CIC) in adults, irritable bowel syndrome with constipation in adult women (IBS-C), and opioid-induced constipation (OIC)in patients with chronic non-cancer related pain; and RESCULA (unoprostone isopropyl), a big potassium channel activator for the treatment of glaucoma and ocular hypertension. Its product candidates in clinical development stage comprise Lubiprostone that is in Phase III clinical trials for the treatment of pediatric functional constipation and (IBS-C); and completed Phase III clinical trials for the treatment of (CIC) in adults, IBS-C in adult women, and OIC in patients with chronic non-cancer pain, as well as CPP-1X/sulindac combination product, which has completed Phase III clinical trials for the treatment of familial adenomatous polyposis. The company is also developing VTS-270, which is in a pivotal Phase 2b/3 trial for the treatment of Niemann-Pick Disease Type C1. Sucampo Pharmaceuticals, Inc. was founded in 1996 is headquartered in Rockville, Maryland.","{'name': 'Mr. Peter S. Greenleaf', 'title': 'Chairman & CEO', 'pay': '1.28M', 'exercised': '2.02M', 'age': '47'}","{'name': 'Dr. Peter A. Kiener Ph.D.', 'title': 'Chief Science Officer', 'pay': '699.67k', 'exercised': 'N/A', 'age': '65'}","{'name': 'Mr. Matthew Maxwell Donley', 'title': 'Exec. VP of Global HR, Information Technology and Strategy', 'pay': '668.63k', 'exercised': 'N/A', 'age': '48'}","{'name': 'Mr. Peter P. Pfreundschuh CPA', 'title': 'Chief Financial Officer', 'pay': 'N/A', 'exercised': 'N/A', 'age': '48'}","{'name': 'Ms. Silvia  Taylor MBA', 'title': 'Sr. VP of Investor Relations and Corp. Affairs', 'pay': 'N/A', 'exercised': 'N/A', 'age': 'N/A'}"
SGEN,"Seattle Genetics, Inc.",http://www.seattlegenetics.com,Healthcare,Biotechnology,890,"Seattle Genetics, Inc., a biotechnology company, develops and commercializes targeted therapies to treat cancer worldwide. It markets ADCETRIS, an antibody-drug conjugate for relapsed Hodgkin lymphoma and relapsed systemic anaplastic large cell lymphoma. The company also develops SGN-CD33A that is in Phase III clinical trial to evaluate SGN-CD33A in combination with hypomethylating agents in previously untreated older patients, as well as in Phase 1/2 clinical trial for patients with relapsed or refractory acute myeloid leukemia (AML); ASG-22ME, which is in Phase I clinical trial for Nectin-4-positive solid tumors, including bladder cancer; SGN-LIV1A that is in Phase 1 clinical trial for patients with LIV-1-positive metastatic breast cancer; and SGN-CD19A, which is in Phase II clinical trial for patients with relapsed DLBCL, as well as in Phase II trial for patients with newly diagnosed DLBCL. In addition, it is involved in developing SEA-CD40 that is in Phase I clinical trial for patients with solid tumors and hematologic malignancies; SGN-CD19B, which is in Phase I clinical trial ongoing for patients with relapsed or refractory aggressive B-cell non-Hodgkin lymphoma; SGN-CD123A that is in Phase I trial for patients with relapsed or refractory AML; SGN-CD352A, which is in Phase I clinical trial for patients with relapsed or refractory multiple myeloma; SGN-2FF that is in Phase I clinical trial for patients with advanced solid tumors; and ASG-15ME that is in Phase I clinical trial for patients with urothelial cancer. The company has collaborations for its ADC technology with various biotechnology and pharmaceutical companies, including AbbVie Biotechnology Ltd.; Bayer Pharma AG; Celldex Therapeutics, Inc.; Genentech, Inc.; GlaxoSmithKline LLC; Pfizer, Inc.; and Unum Therapeutics, Inc., as well as has co-development agreement with Agensys, Inc. and Genmab A/S. Seattle Genetics, Inc. was founded in 1998 and is headquartered in Bothell, Washington.","{'name': 'Dr. Clay B. Siegall Ph.D.', 'title': 'Co-Founder, Pres, CEO & Chairman', 'pay': '1.86M', 'exercised': '8.7M', 'age': '56'}","{'name': 'Mr. Todd E. Simpson', 'title': 'Chief Financial Officer', 'pay': '757.28k', 'exercised': 'N/A', 'age': '56'}","{'name': 'Mr. Eric L. Dobmeier J.D.', 'title': 'Chief Operating Officer', 'pay': '727.84k', 'exercised': '1.63M', 'age': '48'}","{'name': 'Dr. Vaughn B. Himes Ph.D.', 'title': 'Chief Technology Officer', 'pay': '700.44k', 'exercised': '2.41M', 'age': '56'}","{'name': 'Dr. Jonathan G. Drachman M.D.', 'title': 'Chief Medical Officer and Exec. VP of R&D', 'pay': '817.17k', 'exercised': '720.86k', 'age': '55'}"
